Laugh,Condition,Pitch,Duration,Hit_Rate,factorCondition
396,Volitional,7.984801346,1.947,0.8223981900452488,0
402,Volitional,8.33341136,2.181,0.7805429864253394,0
405,Volitional,8.243371204,1.515,0.2997737556561086,0
410,Volitional,8.329357515,1.785,0.3065610859728507,0
413,Volitional,7.962383428,1.611,0.748868778280543,0
414,Volitional,8.60207166,1.455,0.755656108597285,0
422,Volitional,7.973971821,2.019,0.9049773755656109,0
424,Volitional,8.216990928,2.676,0.5248868778280543,0
428,Volitional,8.089326342,2.478,0.5441176470588235,0
430,Volitional,8.30565593,3.399,0.11764705882352941,0
431,Volitional,8.818691507,1.458,0.26018099547511314,0
433,Volitional,8.082848565,3.366,0.9592760180995475,0
435,Volitional,8.27383891,1.002,0.8257918552036199,0
438,Volitional,7.99321663,2.106,0.8529411764705882,0
440,Volitional,7.819294425,1.749,0.8472850678733032,0
441,Volitional,7.799703319,2.241,0.4321266968325792,0
500,Volitional,7.747568284,2.118,0.9457013574660633,0
502,Volitional,8.436437667,1.917,0.7285067873303167,0
2001,Spontaneous,8.461862587,2.241,0.6776018099547512,1
2002,Spontaneous,8.447651225,4.2,0.77828054298642535,1
3001,Spontaneous,8.314288975,1.947,0.7952488687782805,1
3002,Spontaneous,8.873383968,1.212,0.5723981900452488,1
4001,Spontaneous,8.416412691,2.538,0.47398190045248867,1
4002,Spontaneous,8.741345533,1.65,0.8891402714932126,1
5002,Spontaneous,8.334081248,2.178,0.6900452488687783,1
6002,Spontaneous,8.44577737,2.643,0.2160633484162896,1
8001,Spontaneous,8.1724831000000009,1.56,0.3031674208144796,1
10002,Spontaneous,8.032256065,1.746,0.20927601809954752,1
23002,Spontaneous,8.518463783,0.954,0.8778280542986425,1
28001,Spontaneous,8.443659435,1.689,0.504524886877828,1
29001,Spontaneous,8.115927006,1.833,0.4649321266968326,1
29002,Spontaneous,8.43653827,1.287,0.8450226244343891,1
33002,Spontaneous,8.190690552,2.148,0.8054298642533937,1
34002,Spontaneous,9.242725353,2.772,0.6866515837104072,1
39001,Spontaneous,9.187600747,1.413,0.748868778280543,1
39002,Spontaneous,8.840454317,0.798,0.7398190045248869,1
