Laugh,Condition,TotalDuration,VoicedDuration,MeanInterVoicingInterval,PitchLogMean,PitchLogSD,PitchLogMedian,PitchLogIQR,PitchLogCV,PitchLogTkeoMean,PitchLogTkeoSD,PitchLogTkeoPrc5,PitchLogTkeoPrc25,PitchLogTkeoPrc95,PitchLogRR,PitchLogL,PitchLogLMAX,IntensityMean,IntensitySD,IntensityMedian,IntensityIQR,IntensityCV,IntensityTkeoMean,IntensityTkeoSD,IntensityTkeoPrc5,IntensityTkeoPrc25,IntensityTkeoPrc95,IntensityRR,IntensityL,IntensityLMAX,HNRMean,HNRSD,HNRMedian,HNRIQR,HNRCV,Austria,Canada,China,EcuadorShuar,India,Indonesia,Iran,Japan,Korea,Netherlands,Perurural,Peruurban,Qatar,Samoa,Singapore,Slovakia,SouthAfrica,Spain,Turkey,USA,TruthRatio,UnvoicedDuration
10002,Spontaneous,1.746,0.68,0.356,8.032256065,0.111887738,8.036723106,0.167501447,1.06E-05,9.50E-05,0.000956426,-0.000104588,-9.63E-06,9.99E-06,0.0034486,2.69231,10,75.87565385,5.248079744,75.91,7.22,4.64E-05,1.75E-06,1.12E-05,-2.95E-06,-3.66E-07,3.88E-07,0.220173,15.4189,228,0.700257163,0.521415471,0.571422023,0.630934239,0.396171259,0.24,0.27,0.33,0.24,0.35,0.38,0.15,0.18,0.12,0.12,0.19,0.13,0.16,0.29,0.18,0.3,0.14,0.23,0.28,0.1,0.219,1.066
23002,Spontaneous,0.954,0.47,0.339,8.518463783,0.166346145,8.586708393,0.240511723,1.19E-05,0.000151352,0.001305259,-9.98E-05,-5.76E-06,6.75E-06,0.00750503,2.62264,6,77.80111111,6.081891968,80.15,7.66,0.000144047,2.63E-06,1.73E-05,-2.72E-06,-3.27E-07,3.77E-07,0.286514,24.3488,138,0.4327052,0.554371914,0.330015496,0.797978935,7.600552111,0.59,0.47,0.39,0.48,0.32,0.36,0.36,0.75,0.5,0.7,0.26,0.5,0.45,0.31,0.55,0.54,0.23,0.49,0.62,0.5,0.4685,0.484
28001,Spontaneous,1.689,0.68,0.692,8.443659435,0.089078903,8.439955458,0.09891554,1.64E-05,0.000152316,0.001262584,-0.000115172,-9.92E-06,1.23E-05,0.00433351,2.20833,3,72.74588462,4.470604589,74.01,4.6,0.000262267,2.91E-06,1.87E-05,-2.12E-06,-2.83E-07,3.66E-07,0.332895,24.2186,133,0.271771137,0.411502214,0.291069438,0.49152301,16.69439848,0.83,0.9,0.82,0.79,0.68,0.9,0.79,0.93,0.88,0.98,0.74,0.9,0.77,0.5,0.93,0.89,0.76,0.94,0.97,0.94,0.842,1.009
29001,Spontaneous,1.833,0.89,0.277,8.115927006,0.153950371,8.118422024,0.195026039,1.14E-05,0.000104454,0.001066856,-7.68E-05,-3.55E-06,4.31E-06,0.00790597,3.36076,12,74.89190931,7.017122884,75.97,12.24,0.000487066,2.47E-06,1.47E-05,-2.71E-06,-3.62E-07,3.96E-07,0.225116,22.6377,136,0.277757676,0.420179907,0.166835494,0.392632332,10.32425292,0.79,0.77,0.7,0.67,0.65,0.54,0.74,0.68,0.78,0.72,0.55,0.5,0.81,0.64,0.75,0.72,0.57,0.69,0.72,0.73,0.686,0.943
29002,Spontaneous,1.287,0.81,0.53,8.43653827,0.098238778,8.441533277,0.100066284,1.24E-05,0.000100036,0.000987773,-9.40E-05,-4.17E-06,4.23E-06,0.00707707,3.19565,8,74.46752998,6.699283895,74.59,12.11,9.16E-05,2.37E-06,1.43E-05,-3.85E-06,-4.14E-07,4.36E-07,0.113021,11.8443,321,0.827350544,0.421109758,0.772357648,0.569514739,0.611924615,0.9,0.77,0.85,0.39,0.59,0.85,0.72,0.89,0.88,0.98,0.65,0.9,0.9,0.55,0.83,0.86,0.57,0.83,0.83,0.83,0.7785,0.477
2001,Spontaneous,2.241,0.9,0.532,8.461862587,0.242901946,8.436898136,0.387890151,5.58E-05,0.000152667,0.001172022,-0.000195191,-1.44E-05,1.61E-05,0.00839791,4.23288,34,79.52342424,3.929314205,79.62,5.87,0.00016333,2.02E-06,1.46E-05,-2.32E-06,-1.48E-07,1.51E-07,0.363718,29.8049,148,0.167207683,0.391639623,0.101443445,0.500162154,330.616823,0.97,0.93,0.88,0.48,0.82,1,0.87,0.86,0.9,0.81,0.9,0.93,0.97,0.69,0.9,0.93,0.82,1,0.86,0.96,0.874,1.341
2002,Spontaneous,4.2,1.82,0.436,8.447651225,0.206625524,8.47921439,0.230233416,1.34E-05,6.32E-05,0.000676015,-0.000106746,0,0,0.00554348,3.36975,23,74.08441239,6.104496447,73.11,11.86,0.000107047,1.24E-06,9.27E-06,-1.92E-06,-1.95E-07,1.96E-07,0.250156,25.0449,429,0.536751357,0.442013001,0.455413702,0.564961114,4.892271081,0.62,0.37,0.7,0.3,0.26,0.41,0.36,0.65,0.6,0.63,0.1,0.47,0.35,0.4,0.43,0.58,0.56,0.57,0.52,0.71,0.4795,2.38
33002,Spontaneous,2.148,0.88,0.285,8.190690552,0.146656833,8.155678407,0.131150164,1.81E-05,0.000102493,0.001015983,-9.51E-05,-3.94E-06,4.40E-06,0.00965536,3.53514,19,72.30993197,6.135025172,73.38,9.88,0.000135451,2.21E-06,1.50E-05,-3.47E-06,-3.64E-07,3.76E-07,0.228229,17.9668,132,0.469838785,0.400442526,0.482477052,0.474295163,5.45724624,0.86,0.9,0.82,0.61,0.79,0.59,0.77,0.91,0.86,0.81,0.68,0.73,0.81,0.57,0.78,0.83,0.5,0.83,0.66,0.88,0.7595,1.268
34002,Spontaneous,2.772,1.37,0.331,9.242725353,0.467752469,9.164001817,0.908676122,7.83E-05,0.000101027,0.000730497,-0.000138584,-8.83E-06,1.06E-05,0.0151042,4.01676,26,76.65012097,3.325865451,76.01,3.25,5.58E-05,1.26E-06,1.05E-05,-1.65E-06,-1.22E-07,1.42E-07,0.374662,40.6829,197,0.284558527,0.350218985,0.215769312,0.412110432,8.110523661,0.83,0.63,0.61,0.91,0.82,0.79,0.82,0.81,0.76,0.44,0.9,0.7,0.65,0.5,0.6,0.69,0.91,0.74,0.76,0.77,0.732,1.402
39001,Spontaneous,1.413,0.75,0.39,9.187600747,0.183974758,9.20870989,0.260621131,7.23E-05,0.000177362,0.001167705,-0.000190739,-1.70E-05,2.18E-05,0.00565867,2.23529,3,73.06240196,6.601826409,72.99,7.84,0.000408656,3.74E-06,1.79E-05,-4.24E-06,-6.37E-07,7.03E-07,0.309026,18.9983,97,0.526967676,0.468542222,0.448969256,0.687447201,27.25389505,0.79,0.83,0.85,0.67,0.65,0.92,0.77,0.88,0.97,0.88,0.74,0.97,0.84,0.52,0.88,0.75,0.62,0.91,0.83,0.9,0.8085,0.663
39002,Spontaneous,0.798,0.39,0.485,8.840454317,0.090379409,8.868884273,0.123054901,1.29E-05,0.000187078,0.001439366,-6.22E-05,-2.60E-06,6.02E-06,0.00821768,2.29412,4,75.0352439,7.51611026,76.19,12.03,0.000224707,4.07E-06,2.16E-05,-3.88E-06,-8.76E-07,1.01E-06,0.227595,19.0411,136,0.571954644,0.459323263,0.601039687,0.913301746,2.255096022,0.69,0.5,0.7,0.3,0.35,0.62,0.54,0.79,0.88,0.79,0.35,0.73,0.52,0.29,0.65,0.48,0.26,0.74,0.69,0.79,0.583,0.408
3001,Spontaneous,1.947,0.95,0.511,8.314288975,0.186944725,8.373251007,0.32375883,5.46E-05,0.000202788,0.001487867,-0.000122358,-4.80E-06,6.43E-06,0.0123321,2.6,9,77.71109375,3.738459849,78.22,4.67,9.84E-05,3.43E-06,2.14E-05,-3.11E-06,-5.98E-07,6.62E-07,0.500534,56.8622,198,0.174517771,0.387259226,0.189554075,0.514616562,104.2961606,0.9,0.83,0.7,0.61,0.76,0.92,0.77,0.86,0.81,0.95,0.84,0.83,0.77,0.69,0.85,0.89,0.74,0.8,0.9,0.79,0.8105,0.997
