Subject,Trial,Response,Condition,Hit,FA,Sex,CtryCode,Country,UniqSub,LaughFile,LangCode,EngFluency,MM,MM_Eng,Education,GenderSeg,CommScale,EconMode
201,1,0,1,0,0,1,1,Singapore,1201,C10 P2 17,1,5,5,4,3,1,5,4
201,2,1,1,1,0,1,1,Singapore,1201,C2 P1 3,1,5,5,4,3,1,5,4
201,3,0,1,0,0,1,1,Singapore,1201,C2 P2 6,1,5,5,4,3,1,5,4
201,4,0,1,0,0,1,1,Singapore,1201,C23 P2 3,1,5,5,4,3,1,5,4
201,5,1,1,1,0,1,1,Singapore,1201,C28 P1 1,1,5,5,4,3,1,5,4
201,6,1,1,1,0,1,1,Singapore,1201,C29 P1 9,1,5,5,4,3,1,5,4
201,7,1,1,1,0,1,1,Singapore,1201,C29 P2 10,1,5,5,4,3,1,5,4
201,8,1,1,1,0,1,1,Singapore,1201,C3 P1 11,1,5,5,4,3,1,5,4
201,9,0,1,0,0,1,1,Singapore,1201,C3 P2 21,1,5,5,4,3,1,5,4
201,10,1,1,1,0,1,1,Singapore,1201,C33 P2 3,1,5,5,4,3,1,5,4
201,11,1,1,1,0,1,1,Singapore,1201,C34 P2 6,1,5,5,4,3,1,5,4
201,12,1,1,1,0,1,1,Singapore,1201,C39 P1 17,1,5,5,4,3,1,5,4
201,13,1,1,1,0,1,1,Singapore,1201,C39 P2 10,1,5,5,4,3,1,5,4
201,14,1,1,1,0,1,1,Singapore,1201,C4 P1 16,1,5,5,4,3,1,5,4
201,15,1,1,1,0,1,1,Singapore,1201,C4 P2 9,1,5,5,4,3,1,5,4
201,16,1,1,1,0,1,1,Singapore,1201,C5 P2 5,1,5,5,4,3,1,5,4
201,17,1,1,1,0,1,1,Singapore,1201,C6 P2 10,1,5,5,4,3,1,5,4
201,18,0,1,0,0,1,1,Singapore,1201,C8 P1 29,1,5,5,4,3,1,5,4
201,19,1,0,0,1,1,1,Singapore,1201,L396-1,1,5,5,4,3,1,5,4
201,20,1,0,0,1,1,1,Singapore,1201,L402-2,1,5,5,4,3,1,5,4
201,21,1,0,0,1,1,1,Singapore,1201,L405-2,1,5,5,4,3,1,5,4
201,22,1,0,0,1,1,1,Singapore,1201,L410-2,1,5,5,4,3,1,5,4
201,23,1,0,0,1,1,1,Singapore,1201,L413-1,1,5,5,4,3,1,5,4
201,24,1,0,0,1,1,1,Singapore,1201,L414-2,1,5,5,4,3,1,5,4
201,25,0,0,1,0,1,1,Singapore,1201,L422-2,1,5,5,4,3,1,5,4
201,26,1,0,0,1,1,1,Singapore,1201,L424-1,1,5,5,4,3,1,5,4
201,27,1,0,0,1,1,1,Singapore,1201,L428-1,1,5,5,4,3,1,5,4
201,28,1,0,0,1,1,1,Singapore,1201,L430-1,1,5,5,4,3,1,5,4
201,29,1,0,0,1,1,1,Singapore,1201,L431-1,1,5,5,4,3,1,5,4
201,30,0,0,1,0,1,1,Singapore,1201,L433-1,1,5,5,4,3,1,5,4
201,31,0,0,1,0,1,1,Singapore,1201,L435-1,1,5,5,4,3,1,5,4
201,32,1,0,0,1,1,1,Singapore,1201,L438-1,1,5,5,4,3,1,5,4
201,33,0,0,1,0,1,1,Singapore,1201,L440-1,1,5,5,4,3,1,5,4
201,34,1,0,0,1,1,1,Singapore,1201,L441-1,1,5,5,4,3,1,5,4
201,35,0,0,1,0,1,1,Singapore,1201,L500-1x,1,5,5,4,3,1,5,4
201,36,0,0,1,0,1,1,Singapore,1201,L502-1,1,5,5,4,3,1,5,4
202,1,0,1,0,0,1,1,Singapore,1202,C10 P2 17,1,5,5,4,3,1,5,4
202,2,1,1,1,0,1,1,Singapore,1202,C2 P1 3,1,5,5,4,3,1,5,4
202,3,0,1,0,0,1,1,Singapore,1202,C2 P2 6,1,5,5,4,3,1,5,4
202,4,0,1,0,0,1,1,Singapore,1202,C23 P2 3,1,5,5,4,3,1,5,4
202,5,1,1,1,0,1,1,Singapore,1202,C28 P1 1,1,5,5,4,3,1,5,4
202,6,0,1,0,0,1,1,Singapore,1202,C29 P1 9,1,5,5,4,3,1,5,4
202,7,0,1,0,0,1,1,Singapore,1202,C29 P2 10,1,5,5,4,3,1,5,4
202,8,0,1,0,0,1,1,Singapore,1202,C3 P1 11,1,5,5,4,3,1,5,4
202,9,0,1,0,0,1,1,Singapore,1202,C3 P2 21,1,5,5,4,3,1,5,4
202,10,1,1,1,0,1,1,Singapore,1202,C33 P2 3,1,5,5,4,3,1,5,4
202,11,0,1,0,0,1,1,Singapore,1202,C34 P2 6,1,5,5,4,3,1,5,4
202,12,0,1,0,0,1,1,Singapore,1202,C39 P1 17,1,5,5,4,3,1,5,4
202,13,1,1,1,0,1,1,Singapore,1202,C39 P2 10,1,5,5,4,3,1,5,4
